Name,Age,Math,Science,English
Aditi Kadam,18,92.4,88.8,92.3
Aditi Patil,22,68.7,90.4,69.0
Rahul Kukade,19,60.2,68.9,66.1
Vedant Joshi,22,92.6,87.5,96.8
Neha Kamble,18,63.4,78.9,52.9
Ishita Shinde,20,91.4,89.9,86.1
Riya Deshmukh,19,79.6,64.9,66.8
Madhura Verma,20,61.1,46.5,69.8
Siddharth Mali,20,55.3,65.6,56.8
Ayaan Pawar,19,75.1,100.0,88.6
Riya Gaikwad,17,87.3,83.3,67.4
Ayaan Kukade,21,69.1,66.7,61.0
Siddharth Jadhav,21,92.9,71.8,75.6
Aditya Kulkarni,19,52.5,58.2,46.2
Prachi Patil,21,60.4,61.7,73.3
Sneha Shinde,20,80.6,77.9,75.8
Madhura Sawant,18,94.5,83.4,97.1
Aditi Bhosale,20,68.3,71.1,71.6
Tanvi Kamble,17,83.8,71.8,76.2
Aarav Gaikwad,18,72.1,84.0,86.5
Sneha Kulkarni,17,94.4,97.7,100.0
Aarav Gaikwad,21,74.0,55.9,81.6
Sanjana Kamble,20,72.2,72.6,80.6
Riya More,22,80.6,71.9,85.4
Aditya Verma,20,85.5,74.7,67.0
Saurabh Kukade,19,81.1,77.4,75.5
Riya Kulkarni,17,70.6,87.1,100.0
Riya Gupta,22,60.1,58.2,79.0
Kavya Deshmukh,22,89.9,84.2,98.0
Aarav Gupta,17,76.5,74.4,75.6
Kavya Verma,20,77.5,68.8,64.8
Rahul Deshmukh,18,76.2,77.2,87.9
Vedant Chavan,19,76.5,55.1,58.8
Aditi Chavan,21,70.8,62.7,63.5
Ananya Kukade,19,50.8,72.4,64.1
Vaishnavi Shinde,20,61.0,61.3,69.6
Prachi Chavan,18,80.5,78.2,70.3
Shreyas Patil,22,70.0,78.6,86.1
Yash Joshi,18,81.1,79.2,87.7
Sanjana Sharma,21,99.0,79.1,93.6
Shreyas Jadhav,20,75.8,73.4,73.9
Ananya Joshi,20,88.5,96.6,81.4
Vaishnavi Kukade,22,60.7,65.6,75.9
Omkar Shinde,18,69.2,72.4,69.9
Ananya Kukade,18,68.1,58.2,61.4
Akash Kulkarni,22,68.1,71.6,75.7
Madhura Pawar,18,78.8,80.3,83.5
Aarya Bhosale,17,82.6,69.6,79.6
Sanjana Mali,17,91.4,91.2,84.1
Ayaan Kulkarni,21,78.7,77.4,84.5
Sanjana More,21,67.4,74.8,63.2
Aditya Jadhav,17,91.0,67.7,91.8
Rudra Sharma,17,100.0,88.6,77.6
Riya Verma,17,97.1,81.5,81.0
Samiksha Jain,18,84.3,92.9,91.8
Shruti Mali,20,60.0,36.0,59.0
Omkar Patil,22,60.9,73.6,61.4
Nandini Shinde,22,88.5,84.3,70.0
Nandini Gupta,18,88.1,95.8,76.5
Tanvi Gupta,17,100.0,97.2,92.9
Samiksha Kadam,22,73.7,93.4,65.1
Prachi Mali,22,72.9,84.6,90.3
Rudra Gupta,17,81.6,74.5,79.2
Vedant Kamble,17,49.3,67.9,60.4
Nandini Kamble,20,83.1,84.2,75.5
Vedant Kadam,17,60.7,69.7,72.8
Neha Patil,22,93.6,85.3,100.0
Samiksha More,18,97.1,92.8,82.8
Ayaan Bhosale,21,61.7,53.1,55.7
Rahul More,18,83.0,97.5,100.0
Rudra Verma,17,84.5,78.2,74.3
Sanjana Mali,17,62.5,72.6,76.5
Aditya Jain,20,85.3,100.0,100.0
Ananya Bhosale,18,69.4,68.0,68.6
Aditya Gupta,22,69.7,76.7,75.6
Vedant Joshi,20,98.3,86.3,89.7
Gauri Jadhav,18,62.2,60.1,70.7
Prachi Kadam,21,82.1,91.6,87.8
Aditi Mali,18,92.6,100.0,100.0
Pooja More,18,70.5,55.0,74.8
Prachi Sharma,21,58.2,72.3,72.0
Samiksha Sawant,18,74.4,82.0,68.7
Prachi Shinde,20,82.6,84.9,78.1
Siddharth Shinde,20,89.0,85.4,93.2
Vivaan Kulkarni,19,73.9,93.9,79.7
Aarav Pawar,22,55.5,68.5,58.7
Nandini Gupta,18,77.9,59.2,78.1
Gauri Sharma,22,87.4,89.1,91.9
Saurabh Kamble,20,85.6,79.9,75.6
Shruti Mali,18,100.0,100.0,94.2
Ishita Kukade,17,72.1,93.4,100.0
Riya Jain,22,84.8,85.1,74.5
Madhura Gaikwad,20,64.5,60.9,79.2
Atharva Chavan,17,50.8,56.1,58.0
Akash More,21,66.1,89.0,71.9
Shruti Joshi,18,73.1,68.9,64.4
Rahul Chavan,21,76.3,69.6,43.5
Atharva Jain,17,64.5,55.1,66.2
Rudra Patil,17,54.2,60.4,53.6
Aarav More,22,69.8,67.3,77.6
Aarav Deshmukh,18,73.6,78.3,87.5
Gauri Patil,18,77.6,71.5,64.4
Kunal Kukade,19,100.0,95.5,79.6
Atharva Kukade,18,65.9,71.4,62.3
Gauri Jain,20,54.0,64.0,63.1
Prachi Gaikwad,20,86.0,92.9,95.1
Rohan Sawant,17,74.5,73.9,83.2
Sanjana More,20,77.6,82.9,100.0
Nikhil Bhosale,19,81.8,70.4,75.0
Ayaan Jain,21,72.2,80.4,92.8
Riya More,22,69.3,47.6,66.3
Nikhil Deshmukh,21,68.6,63.2,57.4
Ayaan Patil,20,90.5,88.7,78.7
Omkar Gaikwad,17,73.6,64.8,77.4
Gauri Joshi,18,89.2,81.6,71.8
Ananya Mali,19,61.5,53.0,58.6
Madhura Bhosale,22,53.1,82.1,90.8
Yash Deshmukh,22,69.9,61.0,48.3
Aditya Verma,18,92.6,100.0,87.0
Pooja Gaikwad,18,85.3,68.4,83.6
Aditya Patil,18,67.4,71.6,77.3
Kunal Pawar,18,93.6,69.5,68.3
